GEMS.Station.Number,Sample.Date,pH,NO2N,NO3N,DRP
IND02234,2013-01-01,7.85,0.0966,5.04432,0.031002
IND02234,2013-01-02,7.8,0.1932,7.56648,0.124008
IND02234,2013-01-03,7.925,0.2898,9.24792,0.093006
IND02234,2013-01-04,8.184999999999999,0.4002,10.7892,0.134342
IND02234,2013-01-05,7.89,0.4968,12.6108,0.165344
IND02234,2013-01-06,7.57,0.5796,13.3114,0.165344
IND02234,2013-01-07,7.715,0.2898,10.7892,0.093006
IND02234,2013-01-08,7.395,0.1932,9.66828,0.062004
IND02234,2013-01-10,7.54,0.4002,12.7509,0.124008
IND02234,2013-01-11,7.635,0.4002,14.8527,0.165344
IND02234,2013-02-09,7.45,0.2898,7.98684,0.093006
IND02234,2013-02-12,8.605,0.2898,12.6108,0.093006
IND02234,2014-01-01,8.74,0.1932,10.6491,0.062004
IND02234,2014-01-02,7.61,0.2898,10.2288,0.093006
IND02234,2014-01-03,7.69,0.4968,12.7509,0.124008
IND02234,2014-01-04,8.16,0.5934,13.1713,0.124008
IND02234,2014-01-05,8.16,0.4002,14.5725,0.165344
IND02234,2014-01-07,8.25,0.4002,14.012,0.165344
IND02234,2014-01-08,8.15,0.2898,11.2096,0.093006
IND02234,2014-01-09,8.36,0.4002,14.5725,0.165344
IND02234,2014-01-10,8.27,0.5934,18.636,0.227348
IND02234,2014-01-11,8.145,0.6072,18.3557,0.227348
IND02234,2014-01-12,8.265,0.3864,18.7761,0.20668
IND02234,2014-02-06,8.975,0.4968,15.6934,0.196346
IND02234,2015-01-01,8.129999999999999,0.3726,18.2156,0.196346
IND02234,2015-01-02,8.175,0.3174,17.7952,0.351356
IND02234,2015-01-03,8.309999999999999,0.3864,24.521,0.299686
IND02234,2015-01-04,8.715,0.4278,25.2216,0.434028
IND02234,2015-01-05,8.285,0.5658,28.024,0.46503
IND02235,1987-06-15,8.4,0.0,0.042036,0.020668
IND02235,1987-07-01,8.5,0.0,0.084072,0.020668
IND02235,1987-08-01,8.3,0.0,0.182156,0.041336
IND02235,1987-09-01,8.2,0.0,0.294252,0.05167
IND02235,1987-10-05,8.2,0.0,0.378324,0.041336
IND02235,1987-11-16,8.6,0.0,0.154132,0.031002
IND02235,1987-12-01,8.3,0.0,0.182156,0.082672
IND02235,1988-01-01,8.5,0.0,0.266228,0.031002
IND02235,1988-02-01,8.3,0.0,0.182156,0.020668
IND02235,1988-03-01,8.3,0.0,0.042036,0.031002
IND02235,1988-04-02,8.2,0.0,0.042036,0.0
IND02235,1988-05-02,8.5,0.0,0.0,0.010334
IND02235,1988-06-01,8.6,0.0,0.028024,0.010334
IND02235,1988-07-01,7.7,0.0,0.252216,0.031002
IND02235,1988-08-01,8.3,0.0,0.406348,0.031002
IND02235,1988-09-05,8.05,0.0,0.56048,0.020668
IND02235,1988-10-03,7.85,0.0138,0.154132,0.0
IND02235,1988-11-01,7.5,0.0,0.042036,0.0
IND02235,1988-12-01,8.4,0.0138,0.224192,0.010334
IND02235,1989-01-02,8.4,0.0138,0.266228,0.020668
IND02235,1989-02-01,8.5,0.0,0.266228,0.0
IND02235,1989-03-01,8.44,0.0,0.14012,0.0
IND02235,1989-04-03,8.5,0.0,0.07006,0.05167
IND02235,1989-05-01,8.5,0.0276,0.0,0.041336
IND02235,1989-06-01,8.6,0.0,0.0,0.031002
IND02235,1989-07-03,7.7,0.0,0.476408,0.062004
IND02235,1989-08-01,8.3,0.0138,0.364312,0.031002
IND02235,1989-09-01,7.6,0.0138,0.406348,0.041336
IND02235,1989-10-03,8.3,0.0,0.14012,0.010334
IND02235,1989-11-01,8.4,0.0138,0.252216,0.010334
IND02235,1989-12-01,8.3,0.0,0.042036,0.010334
IND02235,1990-01-01,8.2,0.0138,0.14012,0.062004
IND02235,1990-02-01,8.3,0.0138,0.154132,0.020668
IND02235,1990-03-01,8.2,0.0138,0.21018,0.010334
IND02235,1990-04-02,7.7,0.0276,0.084072,0.031002
IND02235,1990-05-02,8.3,0.0138,0.0,0.031002
IND02235,1990-06-01,8.3,0.0,0.182156,0.041336
IND02235,1990-07-02,8.0,0.0,0.854732,0.072338
IND02235,1990-08-03,8.2,0.0,0.84072,0.062004
IND02235,1990-09-03,8.2,0.2622,0.266228,0.0
IND02235,1990-10-04,8.2,0.0,0.546468,0.041336
IND02235,1990-11-06,8.2,0.0,0.658564,0.093006
IND02235,1990-12-03,8.4,0.0,0.434372,0.062004
IND02235,1991-01-01,8.5,0.0,0.294252,0.0
IND02235,1991-02-01,8.3,0.0276,0.322276,0.010334
IND02235,1991-03-04,8.4,0.0138,0.224192,0.020668
IND02235,1991-04-01,8.2,0.0,0.042036,0.248016
IND02235,1991-05-01,8.2,0.0138,0.154132,0.0
IND02235,1991-06-03,8.0,0.2898,0.084072,0.072338
IND02235,1991-07-01,8.2,0.0138,0.154132,0.0
IND02235,1991-08-01,7.6,0.0,0.112096,0.031002
IND02235,1991-09-03,8.0,0.0138,0.084072,0.0
IND02235,1991-10-03,8.4,0.0,0.378324,0.0
IND02235,1991-11-01,8.3,0.0138,0.084072,0.010334
IND02235,1991-12-02,8.2,0.0414,0.07006,0.010334
IND02235,1992-01-01,8.2,0.0414,0.14012,0.031002
IND02235,1992-02-03,8.5,0.0276,0.112096,0.031002
IND02235,1992-03-02,8.5,0.0276,0.07006,0.010334
IND02235,1992-04-01,8.5,0.0276,0.084072,0.0
IND02235,1992-05-01,8.5,0.0138,0.042036,0.010334
IND02235,1992-06-01,8.3,0.0138,0.042036,0.010334
IND02235,1992-07-01,8.2,0.0138,0.266228,0.010334
IND02235,1992-08-03,8.1,0.0138,0.882756,0.010334
IND02235,1992-09-01,8.1,0.0,0.518444,0.010334
IND02235,1992-10-07,8.3,0.0,0.742636,0.010334
IND02235,1992-11-02,8.5,0.0138,0.434372,0.010334
IND02235,1992-12-01,8.2,0.0,0.21018,0.010334
IND02235,1993-01-01,8.5,0.0138,0.588504,0.041336
IND02235,1993-02-01,8.5,0.0138,0.21018,0.010334
IND02235,1993-03-01,8.4,0.0138,0.112096,0.010334
IND02235,1993-04-01,8.4,0.0138,0.266228,0.010334
IND02235,1993-05-03,8.6,0.0276,0.0,0.010334
IND02235,1993-06-03,8.6,0.0276,0.028024,0.010334
IND02235,1993-07-02,8.4,0.0138,1.03689,0.010334
IND02235,1993-08-02,7.9,0.0138,0.994852,0.010334
IND02235,1993-09-01,7.7,0.0,0.154132,0.010334
IND02235,1993-10-04,8.3,0.0,0.854732,0.093006
IND02235,1993-11-01,8.4,0.0276,0.476408,0.010334
IND02235,1993-12-01,8.5,0.0,0.084072,0.010334
IND02235,1994-01-03,8.4,0.0138,1.07892,0.0
IND02235,1994-02-01,8.4,0.0,0.028024,0.010334
IND02235,1994-03-01,8.8,0.0,0.084072,0.010334
IND02235,1994-04-04,8.6,0.0,0.546468,0.010334
IND02235,1994-05-02,8.4,0.0138,0.028024,0.020668
IND02235,1994-06-01,8.5,0.0,0.028024,0.020668
IND02235,1994-07-01,8.2,0.0,0.266228,0.041336
IND02235,1994-08-01,8.2,0.0,0.224192,0.0
IND02235,1994-09-01,8.1,0.0,0.042036,0.020668
IND02235,1994-10-03,8.5,0.0138,0.84072,0.010334
IND02235,1994-11-01,8.6,0.0138,0.77066,0.020668
IND02235,1994-12-01,8.3,0.0138,0.266228,0.010334
IND02235,1995-01-02,8.2,0.0,0.294252,0.05167
IND02235,1995-02-01,8.8,0.0276,0.868744,0.020668
IND02235,1995-03-01,8.3,0.0276,0.21018,0.010334
IND02235,1995-04-03,8.4,0.0,0.406348,0.010334
IND02235,1995-05-01,8.8,0.0,0.56048,0.0
IND02235,1995-06-01,8.3,0.0,0.042036,0.010334
IND02235,1995-08-01,8.4,0.0138,0.294252,0.031002
IND02235,1995-09-04,8.3,0.0,1.35916,0.020668
IND02235,1995-10-04,8.4,0.0138,0.616528,0.020668
IND02235,1995-11-01,8.5,0.0,1.10695,0.031002
IND02235,1995-12-01,8.5,0.0,0.252216,0.0
IND02235,1996-01-01,8.2,0.0138,0.112096,0.010334
IND02235,1996-02-01,8.5,0.0138,0.476408,0.020668
IND02235,1996-03-01,8.5,0.0,0.098084,0.010334
IND02235,1996-04-02,8.5,0.0276,0.028024,0.020668
IND02235,1996-05-06,8.6,0.0138,0.21018,0.010334
IND02235,1996-06-03,8.4,0.0552,0.476408,0.020668
IND02235,1996-07-01,8.6,0.0138,0.014012,0.031002
IND02235,1996-08-01,8.1,0.0,0.784672,0.010334
IND02235,1996-09-02,8.2,0.0,0.434372,0.113674
IND02235,1996-10-03,8.1,0.0,0.658564,0.062004
IND02235,1996-11-01,8.1,0.0,0.476408,0.031002
IND02235,1996-12-02,8.2,0.0,1.35916,0.010334
IND02235,1997-01-01,8.2,0.0138,0.252216,0.020668
IND02235,1997-02-03,8.2,0.0,0.154132,0.0
IND02235,1997-03-03,8.4,0.0,0.084072,0.0
IND02235,1997-04-01,8.5,0.0,0.028024,0.010334
IND02235,1997-05-01,8.2,0.0138,0.14012,0.010334
IND02235,1997-07-01,8.1,0.0138,0.07006,0.010334
IND02235,1997-09-01,8.2,0.0,0.21018,0.010334
IND02235,1997-10-03,8.0,0.0276,0.196168,0.010334
IND02235,1997-11-03,8.2,0.0,0.546468,0.05167
IND02235,1997-12-01,8.4,0.0276,0.0,0.010334
IND02235,1998-01-01,8.2,0.0,0.616528,0.020668
IND02235,1998-02-02,8.4,0.0138,0.364312,0.0
IND02235,1998-03-02,8.2,0.0138,0.336288,0.010334
IND02235,1998-04-01,8.6,0.0,0.042036,0.031002
IND02235,1998-05-01,8.8,0.0,0.042036,0.010334
IND02235,1998-06-01,8.3,0.0276,0.084072,0.020668
IND02235,1998-07-01,8.24,0.0138,0.112096,0.031002
IND02235,1998-08-03,8.5,0.0,0.49042,0.020668
IND02235,1998-09-01,8.23,0.0,0.406348,0.113674
IND02235,1998-10-05,8.3,0.0,2.48012,0.010334
IND02235,1998-11-02,8.46,0.0414,0.238204,0.010334
IND02235,1998-12-01,8.32,0.0138,0.756648,0.010334
IND02235,1999-01-01,8.38,0.0,0.07006,0.010334
IND02235,1999-02-01,8.36,0.0,0.252216,0.010334
IND02235,1999-03-03,8.72,0.0,0.112096,0.010334
IND02235,1999-04-05,8.1,0.0276,0.056048,0.0
IND02235,1999-05-03,8.469999999999999,0.0,0.028024,0.010334
IND02235,1999-06-01,8.55,0.0138,0.056048,0.0
IND02235,1999-07-01,8.17,0.1104,0.434372,0.031002
IND02235,1999-08-02,8.19,0.0828,0.294252,0.010334
IND02235,1999-09-01,8.11,0.0138,0.434372,0.031002
IND02235,1999-10-04,7.47,0.0138,0.49042,0.05167
IND02235,1999-11-01,8.32,0.0,1.02288,0.041336
IND02235,1999-12-01,8.2415,0.0138,0.644552,0.010334
IND02235,2000-01-03,7.9,0.0276,0.812696,0.010334
IND02235,2000-02-01,8.24,0.0138,0.378324,0.010334
IND02235,2000-03-01,8.36,0.0,0.392336,0.010334
IND02235,2000-04-03,8.35,0.0138,0.238204,0.0
IND02235,2000-05-01,8.37,0.1242,0.294252,0.05167
IND02235,2000-06-01,8.32,0.0,0.07006,0.0
IND02235,2000-07-03,8.18,0.0552,0.616528,0.010334
IND02235,2000-08-01,7.78,0.0,0.28024,0.010334
IND02235,2000-09-04,7.94,0.0138,1.38719,0.062004
IND02235,2000-10-03,8.23,0.0138,0.56048,0.010334
IND02235,2000-11-01,8.33,0.0,0.224192,0.020668
IND02235,2000-12-01,8.205,0.0,0.28024,0.020668
IND02235,2001-01-01,8.4435,0.0276,0.98084,0.020668
IND02235,2001-02-01,8.2,0.0276,0.756648,0.0
IND02235,2001-03-01,8.3,0.0414,0.182156,0.0
IND02235,2001-04-03,8.18,0.0,0.14012,0.0
IND02235,2001-05-01,8.32,0.0,0.294252,0.020668
IND02235,2001-06-01,8.45,0.069,0.238204,0.020668
IND02235,2001-07-02,7.99,0.0552,0.392336,0.124008
IND02235,2001-08-01,7.98,0.0276,0.364312,0.041336
IND02235,2001-09-03,8.058,0.0138,0.322276,0.05167
IND02235,2001-10-03,8.42,0.0138,0.224192,0.05167
IND02235,2001-11-01,8.31,0.0,0.224192,0.041336
IND02235,2001-12-03,8.32,0.0138,0.252216,0.010334
IND02235,2002-01-01,8.4,0.0276,0.406348,0.010334
IND02235,2002-02-01,8.28,0.0138,0.042036,0.010334
IND02235,2002-03-01,8.32,0.0414,0.336288,0.010334
IND02235,2002-04-01,8.2,0.0138,0.042036,0.0
IND02235,2002-05-01,8.34,0.0138,0.252216,0.020668
IND02235,2002-06-03,8.32,0.0552,0.07006,0.010334
IND02235,2002-07-01,8.32,0.0138,1.21904,0.020668
IND02235,2002-08-01,8.58,0.0276,0.77066,0.010334
IND02235,2002-09-02,7.94,0.0,0.266228,0.010334
IND02235,2002-10-03,8.39,0.0276,0.224192,0.041336
IND02235,2002-11-01,8.25,0.0276,0.378324,0.031002
IND02235,2002-12-02,8.23,0.0138,0.364312,0.020668
IND02235,2003-01-01,8.5,0.0138,0.21018,0.010334
IND02235,2003-02-03,8.13,0.0138,0.182156,0.010334
IND02235,2003-03-03,8.31,0.0138,0.378324,0.020668
IND02235,2003-04-01,8.36,0.0138,0.672576,0.031002
IND02235,2003-05-01,7.84,0.0138,0.406348,0.020668
IND02235,2003-06-02,8.47,0.0138,0.364312,0.010334
IND02235,2003-07-01,8.17,0.0552,1.07892,0.031002
IND02235,2003-08-01,8.24,0.0276,2.8024,0.020668
IND02235,2003-09-01,8.2,0.0,0.77066,0.010334
IND02235,2003-10-06,8.37,0.0138,0.196168,0.041336
IND02235,2003-11-01,8.52,0.0138,0.784672,0.031002
IND02235,2003-12-02,8.48,0.0276,0.224192,0.020668
IND02235,2004-01-01,8.34,0.0138,0.378324,0.010334
IND02235,2004-02-03,8.55,0.0138,0.378324,0.010334
IND02235,2004-03-03,8.58,0.0,0.448384,0.010334
IND02235,2004-04-01,8.55,0.0,0.476408,0.010334
IND02235,2004-05-05,8.32,0.0,0.476408,0.010334
IND02235,2004-06-01,8.49,0.0138,0.07006,0.020668
IND02235,2004-07-01,8.44,0.0,0.084072,0.010334
IND02235,2004-08-02,7.89,0.0138,0.252216,0.010334
IND02235,2004-09-01,8.22,0.0276,0.406348,0.020668
IND02235,2004-10-04,8.15,0.0138,0.588504,0.020668
IND02235,2004-11-01,8.01,0.0,0.56048,0.010334
IND02235,2004-12-01,8.17,0.0138,0.728624,0.020668
IND02235,2005-01-03,8.07,0.0138,0.14012,0.0
IND02235,2005-02-02,8.295,0.0,0.14012,0.0
IND02235,2005-03-01,8.26,0.0138,0.084072,0.0
IND02235,2005-04-01,8.3,0.0,0.014012,0.05167
IND02235,2005-05-02,8.38,0.0138,0.07006,0.0
IND02235,2005-06-01,8.3,0.0,0.52,0.13
IND02235,2005-07-01,8.08,0.01,4.9,0.19
IND02235,2005-08-01,8.115,0.01,3.3,0.19
IND02235,2005-09-01,8.195,0.04,3.1,0.17
IND02235,2005-10-03,7.99,0.0,0.24,0.06
IND02235,2005-11-02,8.205,0.03,0.8,0.07
IND02235,2005-12-02,8.315000000000001,0.01,1.1,0.1
IND02235,2006-01-02,8.315000000000001,0.02,0.04,0.01
IND02235,2006-02-01,8.315000000000001,0.0,1.2,0.08
IND02235,2006-03-01,8.31,0.539,0.72,0.04
IND02235,2006-04-03,8.61,0.0,0.01,0.03
IND02235,2006-05-01,8.485,0.0,0.3,0.03
IND02235,2006-06-01,8.43,0.0,1.3,0.08
IND02235,2006-07-03,8.38,0.0,0.56,0.01
IND02235,2006-08-01,8.01,0.01,3.1,0.2
IND02235,2006-09-01,7.97,0.1,2.7,0.1
IND02235,2006-10-03,8.39,0.0,1.8,0.04
IND02235,2006-11-01,8.56,0.04,1.3,0.05
IND02235,2006-12-01,8.36,0.0,0.9,0.03
IND02235,2007-01-02,8.19,0.03,1.0,0.01
IND02235,2007-02-01,8.5,0.04,1.74,0.01
IND02235,2007-03-01,8.48,0.04,0.9,0.01
IND02235,2007-04-02,8.42,0.08,0.46,0.01
IND02235,2007-05-03,8.38,0.02,0.42,0.01
IND02235,2007-06-01,8.36,0.02,0.07,0.02
IND02235,2007-07-02,8.0,0.6,4.2,0.2
IND02235,2007-08-01,7.98,0.26,3.2,0.2
IND02235,2007-09-05,7.56,0.01,2.8,0.23
IND02235,2007-10-03,8.4,0.03,1.2,0.04
IND02235,2007-11-01,8.1,0.0,0.8,0.01
IND02235,2007-12-03,7.9,0.03,0.58,0.06
IND02235,2008-01-01,8.2,0.05,0.9,0.01
IND02235,2008-02-01,8.4,0.0,0.4,0.06
IND02235,2008-03-03,8.38,0.0,0.02,0.022
IND02235,2008-04-01,8.31,0.006,0.5,0.01
IND02235,2008-05-01,8.48,0.0,0.27,0.018
IND02235,2008-06-02,8.6,0.0,0.074,0.01
IND02235,2008-07-01,7.54,0.024,3.12,0.12
IND02235,2008-08-01,8.11,0.018,2.4,0.12
IND02235,2008-09-01,8.32,0.06,3.2,0.164
IND02235,2008-10-03,8.01,0.0,0.26,0.01
IND02235,2008-11-03,8.61,0.0,0.2,0.01
IND02235,2008-12-01,8.3,0.0,0.71,0.012
IND02235,2009-01-01,8.18,0.0,1.27,0.022
IND02235,2009-02-02,8.21,0.004,0.01,0.042
IND02235,2009-03-02,8.4,0.0,0.322,0.01
IND02235,2009-04-01,8.65,0.022,0.206,0.01
IND02235,2009-05-01,8.45,0.045,0.01,0.016
IND02235,2009-06-01,8.31,0.0,0.01,0.242
IND02235,2009-07-01,8.3,0.028,0.161,0.07
IND02235,2009-08-03,8.07,0.024,1.135,0.02
IND02235,2009-09-01,8.03,0.005,1.0,0.07
IND02235,2009-10-05,8.22,0.008,0.3,0.072
IND02235,2009-11-03,8.4,0.0,0.4,0.132
IND02235,2009-12-01,8.36,0.024,0.3,0.13
IND02235,2010-01-01,8.4,0.02,0.38,0.14
IND02235,2010-02-01,8.44,0.024,0.365,0.152
IND02235,2010-03-02,8.46,0.007,0.443,0.038
IND02235,2010-04-05,8.56,0.009,0.434,0.038
IND02235,2010-05-03,8.33,0.001,0.441,0.024
IND02235,2010-06-01,8.68,0.073,0.323,0.042
IND02235,2010-07-01,8.05,0.01,0.746,0.543
IND02235,2010-08-02,8.07,0.014,0.692,0.5
IND02235,2010-09-03,8.07,0.016,1.799,0.52
IND02235,2010-10-04,8.32,0.037,1.64,0.42
IND02235,2010-11-01,8.33,0.04,1.7,0.342
IND02235,2010-12-01,8.37,0.045,1.999,0.331
IND02235,2011-01-03,7.91,0.05,0.25,0.014
IND02235,2011-02-01,7.9,0.006,1.195,0.079
IND02235,2011-03-01,8.43,0.014,0.365,0.045
IND02235,2011-04-01,8.2,0.031,0.093,0.268
IND02235,2011-05-02,8.12,0.005,0.018,0.082
IND02235,2011-06-01,8.48,0.007,0.056,0.087
IND02235,2011-07-01,8.25,0.002,2.273,0.248
IND02235,2011-08-01,8.04,0.017,1.516,0.063
IND02235,2011-09-02,7.99,0.008,2.925,0.222
IND02235,2011-10-03,8.5,0.02,0.666,0.134
IND02235,2011-11-01,8.19,0.141,0.625,0.044
IND02235,2011-12-01,8.14,0.131,4.661,0.136
IND02235,2012-01-02,8.74,0.316,0.609,0.145
IND02235,2012-02-01,8.48,0.0,0.573,0.052
IND02235,2012-03-01,8.52,0.083,0.828,0.03
IND02235,2012-04-02,8.32,0.099,0.535,0.093
IND02235,2012-05-01,8.46,0.037,0.184,0.004
IND02235,2012-06-01,8.6,0.05,0.316,0.037
IND02235,2012-07-02,8.48,0.003,0.009,0.031
IND02235,2012-08-01,7.77,0.018,1.998,0.026
IND02235,2012-09-03,7.91,0.045,9.68,0.029
IND02235,2012-10-03,8.39,0.11,0.854,0.028
IND02235,2012-11-01,8.35,0.011,0.523,0.029
IND02235,2012-12-03,8.22,0.001,0.598,0.032
IND02235,2013-01-01,8.2,0.013,0.899,0.098
IND02235,2013-02-01,8.22,0.014,0.864,0.095
IND02235,2013-03-01,8.23,0.004,0.617,0.073
IND02235,2013-04-01,8.38,0.004,0.374,0.038
IND02235,2013-05-01,8.37,0.026,0.059,1.766
IND02235,2013-06-03,8.34,0.002,0.064,0.117
IND02235,2013-07-01,7.92,0.022,1.107,0.254
IND02235,2013-08-01,8.14,0.008,0.408,0.098
IND02235,2013-09-02,7.98,0.037,1.299,0.358
IND02235,2013-10-03,8.22,0.036,1.303,0.098
IND02235,2013-11-01,8.3,0.087,0.788,0.022
IND02235,2013-12-02,8.21,0.008,2.214,0.157
IND02235,2014-01-01,8.3,0.04,1.707,0.004
IND02235,2014-02-03,8.46,0.108,1.092,0.021
IND02235,2014-03-03,8.3,0.012,0.867,0.018
IND02235,2014-04-01,8.38,0.023,0.154,0.076
IND02235,2014-05-01,8.36,0.02,0.153,0.011
IND02235,2014-06-02,8.4,0.004,0.572,0.02
IND02235,2014-07-01,8.5,0.002,0.338,0.263
IND02235,2014-08-01,7.65,0.072,3.329,0.669
IND02235,2014-09-01,7.74,0.006,1.707,0.397
IND02235,2014-10-07,8.32,0.007,1.682,0.418
IND02235,2014-11-01,8.169,0.012,0.92,0.179
IND02235,2014-12-01,8.16,0.007,0.684,0.1
IND02235,2015-01-01,8.06,0.068,5.185,0.13
IND02235,2015-02-02,8.32,0.081,1.076,0.416
IND02235,2015-03-02,8.13,0.0,0.432,0.021
IND02235,2015-04-06,8.3,0.153,1.142,0.158
IND02235,2015-05-01,8.46,0.003,0.122,0.18
IND02235,2015-06-01,8.23,0.003,0.495,0.147
IND02235,2015-07-01,8.35,0.001,3.064,0.408
IND02235,2015-08-03,8.24,0.011,0.732,0.502
IND02235,2015-09-01,8.2,0.011,0.996,0.522
IND02235,2015-10-05,8.3,0.001,0.588,0.117
IND02235,2015-11-02,8.42,0.002,0.894,0.212
IND02235,2015-12-01,8.43,0.032,0.945,0.188
IND02235,2016-01-01,8.36,0.039,1.959,0.0
IND02235,2016-02-01,8.2,0.012,1.799,0.193
IND02235,2019-11-01,7.9,0.02,0.08,0.01
IND02235,2019-12-02,7.68,0.02,0.09,0.04
IND02235,2020-01-01,8.04,0.04,0.09,0.08
IND02235,2020-02-03,7.63,0.04,0.1,0.07
IND02235,2020-03-02,8.08,0.03,0.06,0.05
IND02235,2020-05-05,7.69,1.01,0.11,0.05
IND02235,2020-06-01,7.84,0.02,0.03,0.01
IND02235,2020-07-01,7.18,0.02,0.77,0.28
IND02235,2020-08-07,7.66,0.02,1.23,0.24
IND02235,2020-09-01,7.5,0.02,0.81,0.7
IND02235,2020-10-05,7.93,0.1,1.6,0.05
IND02235,2020-11-02,7.92,0.27,0.12,0.06
IND02235,2020-12-01,7.73,0.26,0.47,0.07
IND02235,2021-01-01,8.03,0.07,1.99,0.01
IND02235,2021-02-01,7.74,0.17,0.98,0.07
IND02235,2021-03-01,7.5,0.01,0.78,0.13
IND02235,2021-04-05,7.25,0.02,0.26,0.09
IND02235,2021-05-22,7.1,0.02,0.36,0.04
IND02235,2021-06-01,7.96,0.02,0.23,0.05
IND02235,2021-06-10,7.68,0.02,0.22,0.04
IND02235,2021-07-01,7.13,0.03,0.92,0.06
IND02235,2021-07-12,7.34,0.05,0.95,0.05
IND02235,2021-07-22,7.76,0.05,0.94,0.06
IND02235,2021-08-02,7.63,0.02,1.37,0.26
IND02235,2021-08-10,7.72,0.03,0.86,0.17
IND02235,2021-08-23,7.58,0.05,0.16,0.16
IND02235,2021-09-01,7.28,0.06,1.22,0.09
IND02235,2021-09-13,7.85,0.06,0.89,0.04
IND02235,2021-09-21,7.07,0.06,0.82,0.04
IND02236,2007-06-01,6.575,0.024,1.34,0.174
IND02236,2007-08-01,5.95,0.008,1.22,0.2
IND02236,2007-10-01,6.675,0.081,0.982,0.06
IND02236,2007-12-01,7.175,0.081,0.72,0.124
IND02236,2008-02-01,6.775,0.085,0.964,0.049
IND02236,2008-04-01,6.484999999999999,0.063,1.21,0.208
IND02236,2008-08-01,6.050000000000001,0.05,0.276,0.024
IND02236,2009-02-02,6.96,0.055,0.227,0.017
IND02236,2009-04-01,6.6,0.045,0.231,0.017
IND02236,2010-06-01,7.3,0.017,0.178,0.013
IND02236,2010-08-02,6.9,0.037,0.108,0.086
IND02236,2010-10-01,6.65,0.011,0.126,0.072
IND02236,2010-12-01,7.1,0.067,0.312,0.022
IND02236,2011-02-01,7.05,0.019,0.125,0.098
IND02236,2011-04-01,7.57,0.017,0.156,0.03
IND02236,2011-08-01,7.359999999999999,0.012,0.174,0.035
IND02236,2011-10-01,7.49,0.015,0.121,0.02
IND02236,2012-04-02,7.21,0.056,1.12,0.08
IND02236,2012-06-01,7.6,0.002,0.78,0.122
IND02236,2012-08-01,7.03,0.006,1.32,0.31
IND02236,2012-10-01,7.235,0.007,1.6,0.31
IND02236,2012-12-01,6.975,0.002,1.67,0.114
IND02236,2013-02-01,6.984999999999999,0.012,0.62,0.009
IND02236,2013-04-01,7.465,0.012,0.41,0.09
IND02236,2013-06-01,7.025,0.007,1.02,0.05
IND02236,2013-08-01,7.314999999999999,0.005,0.276,0.08
IND02236,2013-10-01,6.65,0.009,0.187,0.0142
IND02236,2014-02-01,6.755,0.04,0.32,0.072
IND02236,2014-04-01,6.4350000000000005,0.08,2.116,0.078
IND02236,2021-06-01,6.26,0.0,0.31,0.02
IND02236,2021-06-14,6.24,0.0,0.48,0.02
IND02236,2021-06-21,6.39,0.0,0.42,0.03
IND02236,2021-07-01,6.58,0.0,0.35,0.01
IND02236,2021-07-12,6.22,0.0,0.37,0.02
IND02236,2021-07-22,6.55,0.0,0.42,0.05
IND02236,2021-08-02,6.72,0.0,0.32,0.13
IND02236,2021-08-11,6.78,0.0,0.29,0.14
IND02236,2021-08-23,7.31,0.0,0.39,0.13
IND02236,2021-09-01,7.45,0.0,0.44,0.13
IND02236,2021-09-13,7.7,0.0,0.42,0.14
IND02236,2021-09-21,6.73,0.0,0.41,0.15
IND02238,2009-06-01,8.29,0.32568,2.1018,0.0589038
IND02238,2009-07-01,7.87,0.86664,1.20083,0.0589038
IND02238,2009-08-01,7.46,0.19734,2.13123,0.0589038
IND02238,2009-09-01,7.89,0.0,2.12142,0.0
IND02238,2009-10-01,7.88,0.0,16.8144,0.0
IND02238,2009-11-01,7.66,0.01932,5.58378,0.0
IND02238,2009-12-01,7.79,0.01932,2.96214,0.0062004
IND02238,2010-01-01,8.12,0.00966,1.70106,0.0
IND02238,2010-02-01,7.7,0.00966,1.70106,0.0134342
IND02238,2010-03-01,7.45,0.14766,4.48384,0.225281
IND02238,2010-04-01,8.15,0.15732,2.60623,0.231482
IND02238,2010-05-01,8.02,0.02484,3.51701,0.05167
IND02238,2010-06-01,8.06,0.00966,11.7701,0.025835
IND02238,2010-07-01,8.01,1.794,36.4312,0.454696
IND02238,2010-08-01,7.99,0.01932,4.97426,0.287285
IND02238,2010-09-01,8.02,0.01932,4.98267,0.287285
IND02238,2010-10-01,8.12,0.069,5.6048,0.244916
IND02238,2010-11-01,7.56,0.04968,5.88504,0.146743
IND02238,2010-12-01,7.97,0.14766,1.12096,0.25835
IND02238,2011-01-01,7.39,0.069,11.0695,0.0031002
IND02238,2011-02-02,7.82,0.4278,8.12696,0.0558036
IND02238,2011-03-01,7.27,0.4968,15.4132,0.0
IND02238,2011-04-01,7.85,0.32568,10.9294,0.496032
IND02238,2011-05-02,7.01,0.0,13.0312,0.0
IND02238,2011-06-01,7.34,0.0552,0.672576,0.0
IND02238,2011-07-01,7.02,0.0828,0.406348,0.031002
IND02238,2011-08-01,7.79,0.2898,0.56048,0.041336
IND02238,2011-09-01,7.81,0.0,0.742636,0.0
IND02238,2011-10-01,7.19,0.0552,1.14898,0.0
IND02238,2011-11-01,7.51,0.3312,4.30168,0.0
IND02238,2011-12-01,7.83,0.0,1.62539,0.0
